section,family,frequency,threshold,metric,value,ci_lo,ci_hi,note
A4.1,S0,25S,,pooled_oof_ap,0.9649154611463187,0.9485392275338808,0.9789112376101321,
A4.1,S1,25S,,pooled_oof_ap,0.9635729420263182,0.9467584806691578,0.97773909383068,
A4.1,S2,25S,,primary_ap,0.9781479276455751,0.9480589792164221,0.9992482664678086,
A4.2,S1-S0,25S,,delta_pooled_oof_ap,-0.001342519120000496,-0.003891562620549088,0.0008681680459205613,shared event resample
A4.3,S1,25S,,oof_ap_on_s2_test_events,0.9785151090203874,0.9489240714915922,0.9986427105277372,restricted to the 66 S2 primary test events
A4.3,S2,25S,,primary_ap,0.9781479276455751,0.9480589792164221,0.9992482664678086,same event universe as the row above
A4.4,S1,25S,tau=0.5,edr_at_30,0.886435331230284,,,
A4.4,S1,25S,tau=0.5,edr_at_60,0.886435331230284,,,
A4.4,S1,25S,tau=0.5,edr_at_120,0.886435331230284,,,
A4.4,S1,25S,tau=0.5,lead_at_30,0.0031545741324921135,,,
A4.4,S1,25S,tau=0.5,lead_at_60,0.0031545741324921135,,,
A4.4,S1,25S,tau=0.5,lead_at_120,0.0031545741324921135,,,
A4.4,S1,25S,tau=0.5,delay_median_s,25.0,,,
A4.4,S1,25S,tau=0.5,delay_q25_s,25.0,,,
A4.4,S1,25S,tau=0.5,delay_q75_s,25.0,,,
A4.4,S1,25S,tau=0.5,delay_p90_s,25.0,,,
A4.4,S1,25S,tau=0.5,n_detected_within_120s,281.0,,,n_eligible=317
A4.4,S1,25S,tau=0.5,benchmark_negative_mean,0.031545741324921134,0.012618296529968454,0.05362776025236593,
A4.4,S1,25S,tau=0.5,benchmark_negative_median,,,,not persisted in the CV (S1) artifacts (mean and its CI are)
A4.4,S1,25S,tau*_fold (per fold),edr_at_30,0.8801261829652997,,,
A4.4,S1,25S,tau*_fold (per fold),edr_at_60,0.8801261829652997,,,
A4.4,S1,25S,tau*_fold (per fold),edr_at_120,0.8801261829652997,,,
A4.4,S1,25S,tau*_fold (per fold),lead_at_30,0.0031545741324921135,,,
A4.4,S1,25S,tau*_fold (per fold),lead_at_60,0.0031545741324921135,,,
A4.4,S1,25S,tau*_fold (per fold),lead_at_120,0.0031545741324921135,,,
A4.4,S1,25S,tau*_fold (per fold),delay_median_s,25.0,,,
A4.4,S1,25S,tau*_fold (per fold),delay_q25_s,25.0,,,
A4.4,S1,25S,tau*_fold (per fold),delay_q75_s,25.0,,,
A4.4,S1,25S,tau*_fold (per fold),delay_p90_s,25.0,,,
A4.4,S1,25S,tau*_fold (per fold),n_detected_within_120s,279.0,,,n_eligible=317
A4.4,S1,25S,tau*_fold (per fold),benchmark_negative_mean,0.028391167192429023,0.012618296529968454,0.0473186119873817,
A4.4,S1,25S,tau*_fold (per fold),benchmark_negative_median,,,,not persisted in the CV (S1) artifacts (mean and its CI are)
A4.4,S2,25S,tau=0.5,edr_at_30,0.921875,,,
A4.4,S2,25S,tau=0.5,edr_at_60,0.921875,,,
A4.4,S2,25S,tau=0.5,edr_at_120,0.921875,,,
A4.4,S2,25S,tau=0.5,lead_at_30,0.0,,,
A4.4,S2,25S,tau=0.5,lead_at_60,0.0,,,
A4.4,S2,25S,tau=0.5,lead_at_120,0.0,,,
A4.4,S2,25S,tau=0.5,delay_median_s,25.0,,,
A4.4,S2,25S,tau=0.5,delay_q25_s,25.0,,,
A4.4,S2,25S,tau=0.5,delay_q75_s,25.0,,,
A4.4,S2,25S,tau=0.5,delay_p90_s,25.0,,,
A4.4,S2,25S,tau=0.5,n_detected_within_120s,59.0,,,n_eligible=64
A4.4,S2,25S,tau=0.5,benchmark_negative_mean,0.0,0.0,0.0,
A4.4,S2,25S,tau=0.5,benchmark_negative_median,0.0,,,
A4.4,S2,25S,tau*=0.7037,edr_at_30,0.875,,,
A4.4,S2,25S,tau*=0.7037,edr_at_60,0.875,,,
A4.4,S2,25S,tau*=0.7037,edr_at_120,0.875,,,
A4.4,S2,25S,tau*=0.7037,lead_at_30,0.0,,,
A4.4,S2,25S,tau*=0.7037,lead_at_60,0.0,,,
A4.4,S2,25S,tau*=0.7037,lead_at_120,0.0,,,
A4.4,S2,25S,tau*=0.7037,delay_median_s,25.0,,,
A4.4,S2,25S,tau*=0.7037,delay_q25_s,25.0,,,
A4.4,S2,25S,tau*=0.7037,delay_q75_s,25.0,,,
A4.4,S2,25S,tau*=0.7037,delay_p90_s,25.0,,,
A4.4,S2,25S,tau*=0.7037,n_detected_within_120s,56.0,,,n_eligible=64
A4.4,S2,25S,tau*=0.7037,benchmark_negative_mean,0.0,0.0,0.0,
A4.4,S2,25S,tau*=0.7037,benchmark_negative_median,0.0,,,
A4.1,S0,15S,,pooled_oof_ap,0.9462234188337225,0.9254099774683455,0.9649985825897874,
A4.1,S1,15S,,pooled_oof_ap,0.9466075075252328,0.9248666925473882,0.9657748082911111,
A4.1,S2,15S,,primary_ap,0.9572224006841336,0.9170590591700023,0.990746230460488,
A4.2,S1-S0,15S,,delta_pooled_oof_ap,0.0003840886915102981,-0.0022361253896345636,0.0029555215642787422,shared event resample
A4.3,S1,15S,,oof_ap_on_s2_test_events,0.9591264814773836,0.9191148430471082,0.9898381546664283,restricted to the 66 S2 primary test events
A4.3,S2,15S,,primary_ap,0.9572224006841336,0.9170590591700023,0.990746230460488,same event universe as the row above
A4.4,S1,15S,tau=0.5,edr_at_30,0.8454258675078864,,,
A4.4,S1,15S,tau=0.5,edr_at_60,0.8454258675078864,,,
A4.4,S1,15S,tau=0.5,edr_at_120,0.8454258675078864,,,
A4.4,S1,15S,tau=0.5,lead_at_30,0.00946372239747634,,,
A4.4,S1,15S,tau=0.5,lead_at_60,0.012618296529968454,,,
A4.4,S1,15S,tau=0.5,lead_at_120,0.012618296529968454,,,
A4.4,S1,15S,tau=0.5,delay_median_s,15.0,,,
A4.4,S1,15S,tau=0.5,delay_q25_s,15.0,,,
A4.4,S1,15S,tau=0.5,delay_q75_s,15.0,,,
A4.4,S1,15S,tau=0.5,delay_p90_s,15.0,,,
A4.4,S1,15S,tau=0.5,n_detected_within_120s,268.0,,,n_eligible=317
A4.4,S1,15S,tau=0.5,benchmark_negative_mean,0.028391167192429023,0.012618296529968454,0.0473186119873817,
A4.4,S1,15S,tau=0.5,benchmark_negative_median,,,,not persisted in the CV (S1) artifacts (mean and its CI are)
A4.4,S1,15S,tau*_fold (per fold),edr_at_30,0.8422712933753943,,,
A4.4,S1,15S,tau*_fold (per fold),edr_at_60,0.8422712933753943,,,
A4.4,S1,15S,tau*_fold (per fold),edr_at_120,0.8422712933753943,,,
A4.4,S1,15S,tau*_fold (per fold),lead_at_30,0.012618296529968454,,,
A4.4,S1,15S,tau*_fold (per fold),lead_at_60,0.015772870662460567,,,
A4.4,S1,15S,tau*_fold (per fold),lead_at_120,0.015772870662460567,,,
A4.4,S1,15S,tau*_fold (per fold),delay_median_s,15.0,,,
A4.4,S1,15S,tau*_fold (per fold),delay_q25_s,15.0,,,
A4.4,S1,15S,tau*_fold (per fold),delay_q75_s,15.0,,,
A4.4,S1,15S,tau*_fold (per fold),delay_p90_s,15.0,,,
A4.4,S1,15S,tau*_fold (per fold),n_detected_within_120s,267.0,,,n_eligible=317
A4.4,S1,15S,tau*_fold (per fold),benchmark_negative_mean,0.03470031545741325,0.015772870662460567,0.056782334384858045,
A4.4,S1,15S,tau*_fold (per fold),benchmark_negative_median,,,,not persisted in the CV (S1) artifacts (mean and its CI are)
A4.4,S2,15S,tau=0.5,edr_at_30,0.859375,,,
A4.4,S2,15S,tau=0.5,edr_at_60,0.859375,,,
A4.4,S2,15S,tau=0.5,edr_at_120,0.859375,,,
A4.4,S2,15S,tau=0.5,lead_at_30,0.015625,,,
A4.4,S2,15S,tau=0.5,lead_at_60,0.03125,,,
A4.4,S2,15S,tau=0.5,lead_at_120,0.03125,,,
A4.4,S2,15S,tau=0.5,delay_median_s,15.0,,,
