tau,f1,tp,fp,fn
4.288411842492743e-06,0.0013799901429275502,49,70917,0
4.5559393672039054e-06,0.005450197430621212,49,17883,0
5.103673541498124e-06,0.015870445344129555,49,6077,0
6.902255650638914e-06,0.01593755082127175,49,6051,0
7.717517349644294e-06,0.016714992324748424,49,5765,0
7.818848284316363e-06,0.01676933607118412,49,5746,0
9.228092929186714e-06,0.019238319591676482,49,4996,0
1.016516456775137e-05,0.029123328380386327,49,3267,0
1.0980426266756752e-05,0.029184038117927337,49,3260,0
1.1574409212621721e-05,0.02919273160560024,49,3259,0
1.2389670911627101e-05,0.029332535169111048,49,3243,0
1.3244750365226648e-05,0.029341317365269463,49,3242,0
1.4786008401142248e-05,0.029394121175764846,49,3236,0
1.510102586499932e-05,0.029429429429429433,49,3232,0
1.650765928233911e-05,0.02943826975067588,49,3231,0
1.7322920981344486e-05,0.02965204236006051,49,3207,0
1.739985220928842e-05,0.02966999697244929,49,3205,0
1.7740626845240092e-05,0.029687973341411694,49,3203,0
1.791690392720946e-05,0.029696969696969694,49,3202,0
1.8307024367243506e-05,0.030218933086648168,49,3145,0
1.8732165626214837e-05,0.031150667514303884,49,3048,0
1.9122286066248886e-05,0.031180400890868598,49,3045,0
1.9149871490110443e-05,0.031994776363042765,49,2965,0
1.9622272266961888e-05,0.03202614379084968,49,2962,0
1.9693458340888964e-05,0.03221564760026299,49,2944,0
2.1031516911832242e-05,0.034241788958770086,49,2764,0
2.1102702985759318e-05,0.03451919690031701,49,2741,0
2.2072005771271232e-05,0.0399673735725938,49,2354,0
2.2096015304716126e-05,0.04001633319722335,49,2351,0
2.2461569253965554e-05,0.04061334438458351,49,2315,0
2.2911277003721506e-05,0.040714582467802234,49,2309,0
2.3242885664491458e-05,0.04156064461407973,49,2260,0
2.4807885537400567e-05,0.041631265930331354,49,2256,0
2.562314723640595e-05,0.042553191489361694,49,2205,0
2.6250560191438174e-05,0.043691484618814086,49,2145,0
2.647771885649278e-05,0.0439068100358423,49,2134,0
2.7031876601964068e-05,0.04464692482915718,49,2097,0
2.706582189044355e-05,0.0454124189063948,49,2060,0
2.780670771113205e-05,0.046052631578947366,49,2030,0
2.788696350136313e-05,0.04912280701754385,49,1897,0
2.8070794454513024e-05,0.05114822546972861,49,1818,0
2.8311083264984646e-05,0.05128205128205127,49,1813,0
2.8382269338911726e-05,0.05130890052356021,49,1812,0
2.859687647487318e-05,0.051769677760169046,49,1795,0
2.8621969410137426e-05,0.052072263549415514,49,1784,0
2.8804620925893016e-05,0.0528872099298435,49,1755,0
2.882403513992779e-05,0.053347849755035384,49,1739,0
2.8886056153518404e-05,0.05337690631808279,49,1738,0
2.9197531037917106e-05,0.05346426623022368,49,1735,0
2.941213817387856e-05,0.05349344978165939,49,1734,0
2.948003909938337e-05,0.053816584294343765,49,1723,0
2.951346910855062e-05,0.05417357656163626,49,1711,0
2.9720327909854997e-05,0.05423353624792474,49,1709,0
2.9743746834648513e-05,0.05432372505543237,49,1706,0
2.9791513983782073e-05,0.05438401775804662,49,1704,0
3.0295300798388754e-05,0.0546875,49,1694,0
3.0328730807556003e-05,0.05477920626048071,49,1691,0
3.0606775682787456e-05,0.05480984340044743,49,1690,0
