tau,f1,tp,fp,fn
1.9957623785140737e-06,0.0011813349084465446,28,47348,0
2.113331979717986e-06,0.002330323332362365,28,23975,0
2.2515495635761017e-06,0.00235998145728855,28,23673,0
2.26867324582481e-06,0.0023909145248057384,28,23366,0
2.2880233090728763e-06,0.0028085661266863933,28,19883,0
2.3691191647800144e-06,0.00491486747410918,28,11338,0
2.3862428470287227e-06,0.007522837184309511,28,7388,0
2.405592910276789e-06,0.007590132827324479,28,7322,0
2.5244604308868384e-06,0.007727335449151373,28,7191,0
2.5438104941349047e-06,0.0077951002227171495,28,7128,0
2.642030032090751e-06,0.007945516458569809,28,6992,0
2.6613800953388174e-06,0.008691603290392673,28,6387,0
3.807554147518794e-06,0.011407618659604808,28,4853,0
4.08046501482953e-06,0.011442582754393136,28,4838,0
4.0998150780775975e-06,0.011447260834014717,28,4836,0
4.689002346195192e-06,0.011468359614990785,28,4827,0
4.806571947399106e-06,0.011879507848960543,28,4658,0
4.944789531257222e-06,0.011892121469526439,28,4653,0
4.961913213505928e-06,0.011947941113718798,28,4631,0
4.981263276753996e-06,0.012012012012012012,28,4606,0
5.0623591324611345e-06,0.012386640123866402,28,4465,0
5.0794828147098415e-06,0.012698412698412697,28,4354,0
5.098832877957908e-06,0.012704174228675136,28,4352,0
5.217700398567957e-06,0.012707056954844566,28,4351,0
5.237050461816023e-06,0.012721490231712856,28,4346,0
5.335269999771871e-06,0.012776637006616473,28,4327,0
5.3546200630199374e-06,0.01285878300803674,28,4299,0
5.561997969409127e-06,0.013136288998357963,28,4207,0
5.679567570613041e-06,0.016706443914081145,28,3296,0
5.817785154471156e-06,0.016761448668063453,28,3285,0
5.834908836719864e-06,0.016801680168016798,28,3277,0
5.85425889996793e-06,0.01756587202007528,28,3132,0
5.935354755675069e-06,0.019587268275620847,28,2803,0
5.9524784379237765e-06,0.020626151012891347,28,2659,0
5.971828501171844e-06,0.020648967551622422,28,2656,0
6.090696021781892e-06,0.020671834625323,28,2653,0
6.110046085029959e-06,0.020702402957486137,28,2649,0
6.208265622985805e-06,0.02073306182895224,28,2645,0
6.227615686233873e-06,0.020911127707244216,28,2622,0
6.500794115199915e-06,0.02147239263803681,28,2552,0
6.7896612751110255e-06,0.021480629075565787,28,2551,0
6.907230876314937e-06,0.03194523673702225,28,1697,0
7.0454484601730534e-06,0.032128514056224904,28,1687,0
7.062572142421761e-06,0.03248259860788863,28,1668,0
7.0819222056698285e-06,0.03469640644361834,28,1558,0
7.163018061376965e-06,0.042296072507552865,28,1268,0
7.180141743625673e-06,0.04624277456647399,28,1155,0
7.19949180687374e-06,0.046280991735537194,28,1154,0
7.31835932748379e-06,0.046473029045643155,28,1149,0
7.337709390731856e-06,0.046550290939318374,28,1147,0
7.435928928687702e-06,0.046783625730994156,28,1141,0
7.455278991935768e-06,0.0475785896346644,28,1121,0
8.255237937090249e-06,0.04995539696699375,28,1065,0
8.547498867649052e-06,0.05022421524663677,28,1059,0
8.62859472335619e-06,0.050359712230215826,28,1056,0
8.80328605271108e-06,0.05063291139240507,28,1050,0
8.920855653914993e-06,0.05067873303167421,28,1049,0
9.482901242792143e-06,0.050724637681159424,28,1048,0
9.775162173350948e-06,0.05104831358249773,28,1041,0
9.856258029058086e-06,0.05114155251141552,28,1039,0
1.0148518959616887e-05,0.05128205128205127,28,1036,0
1.6509333315462332e-05,0.05156537753222836,28,1030,0
1.676512050052436e-05,0.05189990732159407,28,1023,0
1.6801594246021135e-05,0.05194805194805195,28,1022,0
1.6882690101728274e-05,0.05233644859813084,28,1014,0
1.7057381431083163e-05,0.05283018867924528,28,1004,0
1.715560096903901e-05,0.05293005671077505,28,1002,0
1.7174951032287077e-05,0.05298013245033112,28,1001,0
2.1270430152483902e-05,0.05313092979127135,28,998,0
2.1387999753687812e-05,0.05779153766769866,28,913,0
2.152621733754593e-05,0.05809128630705395,28,908,0
2.1543341019794638e-05,0.05815160955347871,28,907,0
2.15626910830427e-05,0.059196617336152224,28,890,0
2.164378693874984e-05,0.06292134831460673,28,834,0
2.1680260684246612e-05,0.06356413166855847,28,825,0
2.191669780606058e-05,0.06370875995449374,28,823,0
2.1936047869308643e-05,0.06414662084765177,28,817,0
2.196684203041726e-05,0.06466512702078522,28,810,0
2.201942865357772e-05,0.06473988439306358,28,809,0
2.3416076698270457e-05,0.06481481481481481,28,808,0
2.3688987565581196e-05,0.06635071090047394,28,788,0
2.3708337628829256e-05,0.06674612634088199,28,783,0
2.3724600949872488e-05,0.06779661016949151,28,770,0
2.3730774503627236e-05,0.06796116504854369,28,768,0
2.37501245668753e-05,0.0681265206812652,28,766,0
2.4255931050723823e-05,0.06837606837606837,28,763,0
2.449305729727251e-05,0.06862745098039216,28,760,0
2.4518511528020203e-05,0.0687116564417178,28,759,0
2.46099377737417e-05,0.07151979565772669,28,727,0
2.4629287836989765e-05,0.07170294494238157,28,725,0
2.4634558381095574e-05,0.0718870346598203,28,723,0
2.463608112922412e-05,0.07197943444730077,28,722,0
2.4828988064006424e-05,0.07207207207207207,28,721,0
2.4854511681009235e-05,0.0724450194049159,28,717,0
2.4866414083538456e-05,0.09032258064516129,28,564,0
2.4891868314286148e-05,0.09046849757673668,28,563,0
2.495234292865719e-05,0.09120521172638436,28,558,0
2.4985579488569572e-05,0.09135399673735727,28,557,0
2.5003679393361313e-05,0.0915032679738562,28,556,0
2.5121248994565223e-05,0.09165302782324058,28,555,0
2.512742254831997e-05,0.09195402298850576,28,553,0
2.5146772611568035e-05,0.0945945945945946,28,536,0
2.5164779181596884e-05,0.10852713178294575,28,460,0
2.6109316665951572e-05,0.10980392156862745,28,454,0
2.615110360399761e-05,0.1111111111111111,28,448,0
2.6382227533262308e-05,0.11155378486055778,28,446,0
2.6401577596510375e-05,0.112,28,444,0
2.642401447130835e-05,0.11290322580645161,28,440,0
2.6443364534556418e-05,0.11313131313131314,28,439,0
2.69823122891655e-05,0.11382113821138212,28,436,0
2.7211751495701325e-05,0.1142857142857143,28,434,0
2.732932109690524e-05,0.11451942740286297,28,433,0
2.7547751648690347e-05,0.11475409836065573,28,432,0
2.7559654051219578e-05,0.11642411642411642,28,425,0
2.758510828196727e-05,0.11666666666666665,28,424,0
2.7602231964215977e-05,0.11715481171548117,28,422,0
