frequency,fraction,average_precision,tau_star,edr_exact_anchor,edr_120_anchor,edr_120_tau_star
25S,0.4,0.9478663010580509,0.2873575061158067,0.8210526315789474,0.8210526315789474,0.868421052631579
25S,0.5,0.9413361382213064,0.3122999450778524,0.8662420382165605,0.8662420382165605,0.8598726114649682
25S,0.6,0.9507788865938286,0.13236842798363388,0.8976377952755905,0.8976377952755905,0.8582677165354331
25S,0.7,0.9712360430941471,0.4712196623808352,0.9139784946236559,0.9139784946236559,0.9247311827956989
25S,0.8,0.9781479276455751,0.7036605405579714,0.921875,0.921875,0.875
15S,0.4,0.9399896974584692,0.31143841290959307,0.8421052631578947,0.8421052631578947,0.8421052631578947
15S,0.5,0.9249654484021633,0.37516907433123114,0.821656050955414,0.821656050955414,0.821656050955414
15S,0.6,0.9339874640134326,0.3214451465369889,0.8346456692913385,0.8346456692913385,0.8346456692913385
15S,0.7,0.9637326898375663,0.4752821009433327,0.8387096774193549,0.8387096774193549,0.8494623655913979
15S,0.8,0.9572224006841336,0.5059013502406946,0.859375,0.859375,0.859375
5S,0.4,0.8585123128058166,0.3952579659165778,0.6631578947368421,0.6631578947368421,0.6894736842105263
5S,0.5,0.8460697724368347,0.3544524582604624,0.6369426751592356,0.6369426751592356,0.6687898089171974
5S,0.6,0.8701891685498805,0.16298193233134534,0.6535433070866141,0.6535433070866141,0.6771653543307087
5S,0.7,0.9231880960162687,0.3055249980016803,0.7096774193548387,0.7096774193548387,0.7634408602150538
5S,0.8,0.9071999066650964,0.3382249603958512,0.640625,0.640625,0.734375
