pump_index,fold
0,3
1,4
2,4
3,0
4,3
5,0
6,0
7,1
8,4
9,2
10,0
11,0
12,2
13,3
14,3
15,0
16,3
17,0
18,3
19,1
20,0
21,2
22,4
23,1
24,0
25,4
26,3
27,1
28,4
29,4
30,4
31,0
32,1
33,4
34,1
35,2
36,0
37,2
38,0
39,3
40,3
41,0
42,4
43,4
44,4
45,2
46,2
47,4
48,4
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,4
58,1
59,2
60,3
62,1
63,3
64,0
65,0
66,2
67,3
68,2
69,2
70,2
71,2
72,2
73,2
74,4
75,3
76,0
77,3
78,0
79,4
80,0
81,1
82,0
83,2
84,3
85,1
86,3
87,3
88,2
89,1
90,1
91,0
92,3
93,2
94,2
95,2
96,2
98,2
99,2
100,1
101,2
102,4
103,0
104,1
105,0
106,1
107,1
108,4
109,4
110,4
111,0
112,1
113,4
114,3
115,1
116,4
117,1
118,1
119,4
120,0
121,3
122,3
123,2
124,2
125,0
126,3
127,2
128,0
129,1
130,1
131,0
132,4
133,4
134,3
135,2
136,0
137,4
138,4
139,2
140,0
141,4
142,0
143,1
144,3
145,1
146,1
147,1
148,4
149,3
151,3
152,0
154,3
155,2
156,3
157,1
158,2
159,2
160,2
161,4
162,0
163,2
164,2
165,2
166,3
167,0
168,3
169,3
170,4
171,1
172,3
173,1
174,1
175,2
176,1
177,2
178,1
179,3
180,4
181,2
182,4
183,3
184,0
185,2
186,2
187,0
188,0
189,4
190,3
191,4
192,0
193,3
194,1
195,0
196,2
197,0
198,1
199,0
200,1
201,1
202,2
203,2
204,2
205,0
206,3
207,4
208,2
209,2
210,4
211,2
212,0
213,2
214,3
215,4
216,2
217,0
218,3
219,3
220,3
221,3
222,3
223,2
224,4
225,0
226,4
227,1
228,3
229,1
230,4
231,4
232,0
233,1
234,4
236,4
237,3
238,4
239,1
240,1
241,1
242,4
243,0
244,0
245,1
248,4
249,1
250,4
252,0
253,1
254,3
255,1
256,1
257,4
258,3
259,0
260,3
261,1
262,0
263,4
264,4
265,4
266,2
267,1
268,3
269,3
270,3
271,4
272,1
273,0
274,0
275,1
276,2
277,1
278,4
279,3
280,2
281,2
282,0
283,4
284,1
285,1
286,3
287,4
288,4
289,1
290,0
291,2
292,3
293,4
294,3
295,2
296,0
297,2
300,3
301,0
302,0
303,3
304,2
305,4
306,4
307,3
308,2
309,2
310,2
311,1
312,1
313,3
314,1
315,3
316,4
317,0
318,4
319,3
320,2
321,3
322,4
323,1
324,2
325,4
326,4
328,0
329,3
330,3
331,4
332,1
333,3
334,4
335,3
336,3
