frequency,configuration,precision,recall,f1,average_precision,roc_auc,evidence_state
25S,paper_table_iii,0.937,0.913,0.918,,,verified_from_paper_pdf
15S,paper_table_iii,0.913,0.844,0.877,,,verified_from_paper_pdf
5S,paper_table_iii,0.924,0.784,0.840,,,verified_from_paper_pdf
25S,upstream_script_stdout,0.9657534246575342,0.889589905362776,0.9261083743842364,,,verified_local_upstream_stdout
15S,upstream_script_stdout,0.9678571428571429,0.8548895899053628,0.9078726968174204,,,verified_local_upstream_stdout
5S,upstream_script_stdout,0.9433198380566802,0.7350157728706624,0.8262411347517731,,,verified_local_upstream_stdout
25S,new_implementation_released_code_configuration,0.9657534246575342,0.889589905362776,0.9261083743842364,0.9643708695784525,0.9999041463558986,verified_local_new_implementation
15S,new_implementation_released_code_configuration,0.9678571428571429,0.8548895899053628,0.9078726968174204,0.947172151184115,0.9998575789917847,verified_local_new_implementation
5S,new_implementation_released_code_configuration,0.9433198380566802,0.7350157728706624,0.8262411347517731,0.902581300083189,0.9993614253438654,verified_local_new_implementation
25S,paper_reported_tree_constraints_plus_released_cv_assumptions_on_current_extended_matrices,0.9685314685314685,0.8738170347003155,0.9187396351575456,0.9582443579156725,0.9998868035307347,verified_local_run
15S,paper_reported_tree_constraints_plus_released_cv_assumptions_on_current_extended_matrices,0.9713261648745519,0.8548895899053628,0.9093959731543624,0.9397280273302503,0.9997501897744465,verified_local_run
5S,paper_reported_tree_constraints_plus_released_cv_assumptions_on_current_extended_matrices,0.960352422907489,0.6876971608832808,0.8014705882352942,0.8906336090522652,0.9993260963729141,verified_local_run
